parcelid	land use	zoning	assessed total	appraised total
03360000100	Commercial  	K. Unrestricted	$1,400.00	$4,400.00
01530500200	Commercial  	I. Central Business District	$24,300.00	$75,900.00
03650000600	Commercial  	J. Industrial	$720.00	$3,800.00
04850001300	single family units  	B. Two Family Residential	$72,690.00	$382,600.00
01480000500	Commercial  	I. Central Business District	$122,400.00	$382,500.00
04820300300	single family units  	C. Multiple Family Residential	$47,270.00	$248,800.00
06170001500	Commercial  	G. Local Commercial and Office	$42,600.00	$133,100.00
04050002200	Commercial  		$7,800.00	$24,400.00
00480000500	Commercial  	K. Unrestricted	$7,700.00	$24,100.00
04840002770	two family unit  	B. Two Family Residential	$42,310.00	$222,700.00
06820002500	multi-family residential  	D. Multiple Family Residential	$54,640.00	$287,600.00
05570000600	Commercial  	I. Central Business District	$7,400.00	$23,100.00
06700000050	multi-family residential  	G. Local Commercial and Office	$34,940.00	$183,900.00
04830302000	vacant residential lot  	C. Multiple Family Residential	$3,250.00	$17,100.00
05760000220	Commercial  	J. Industrial	$100.00	$300.00
04820902500				
03900000360	single family units  	D. Multiple Family Residential	$26,810.00	$141,100.00
04850000810	single family units  	B. Two Family Residential	$40,850.00	$215,000.00
00170000800	Commercial  	L. Jefferson Memorial District	$640,600.00	$2,001,900.00
04040000100	four family unit  	D. Multiple Family Residential	$30,250.00	$159,200.00
03550000100	Commercial  		$0.00	$0.00
04050000550	vacant residential lot  	D. Multiple Family Residential	$12,030.00	$63,300.00
00200000400	Commercial  	K. Unrestricted	$19,000.00	$59,400.00
04750001480	vacant residential lot  	A. Single Family Residential	$2,470.00	$13,000.00
04310500100	Commercial  	J. Industrial	$2,225,000.00	$6,953,100.00
04640401100	vacant residential lot  	D. Multiple Family Residential	$35,510.00	$186,900.00
06710000400	multi-building residential  	H. Area Commercial	$28,960.00	$152,400.00
06970000350	Commercial  	K. Unrestricted	$174,400.00	$545,000.00
05640401100	Commercial  	J. Industrial	$38,500.00	$120,300.00
02070000250	Commercial  	I. Central Business District	$763,200.00	$2,385,000.00
06220000300	single family units  	D. Multiple Family Residential	$1,350.00	$7,100.00
04480002500	Commercial  	J. Industrial	$1,100.00	$3,400.00
04200000350	Commercial  	K. Unrestricted	$49,400.00	$154,400.00
06730100650	single family units  	G. Local Commercial and Office	$30,210.00	$159,000.00
03830002600	multi-building residential  	D. Multiple Family Residential	$114,000.00	$600,000.00
02280000100	Commercial  	K. Unrestricted	$42,700.00	$133,400.00
04700300100	vacant residential lot  	C. Multiple Family Residential	$29,450.00	$155,000.00
03900002850	single family units  	D. Multiple Family Residential	$21,380.00	$112,500.00
05110000400	Commercial  	I. Central Business District	$132,900.00	$415,300.00
05130000510	Commercial  	I. Central Business District	$1,937,300.00	$6,054,100.00
03830000550	single family units  	D. Multiple Family Residential	$63,100.00	$332,100.00
03650000200	Commercial  	J. Industrial	$700.00	$2,200.00
01810000500	Commercial  	I. Central Business District	$222,800.00	$696,300.00
05670000500	Commercial  	D. Multiple Family Residential	$67,200.00	$210,000.00
03400000400	Commercial  	J. Industrial	$32,500.00	$101,600.00
02360000500	Commercial  	K. Unrestricted	$13,900.00	$43,400.00
05340000200	Commercial  	I. Central Business District	$5,000.00	$15,600.00
03380001500	vacant residential lot  	J. Industrial	$150.00	$800.00
04420000300	Commercial  	J. Industrial	$78,000.00	$243,800.00
07690000330	Commercial  	K. Unrestricted	$0.00	$0.00
03720001900	multi-building residential  	D. Multiple Family Residential	$29,470.00	$155,100.00
07610001000	Commercial  	J. Industrial	$288,000.00	$900,000.00
04850001700	single family units  	B. Two Family Residential	$60,060.00	$316,100.00
06640300110	Commercial  	K. Unrestricted	$38,600.00	$120,600.00
06320001700	vacant residential lot  	F. Neighborhood Commercial	$250.00	$1,300.00
03350300050	Commercial  	K. Unrestricted	$18,800.00	$58,800.00
04650300400	single family units  	D. Multiple Family Residential	$33,350.00	$175,500.00
02160001200	Commercial  	I. Central Business District	$0.00	$0.00
01490000550	Commercial  		$3,100.00	$9,700.00
03860001450	vacant residential lot  	D. Multiple Family Residential	$3,840.00	$20,200.00
03180000200	Commercial  	K. Unrestricted	$77,600.00	$242,500.00
07180000550	Commercial  	J. Industrial	$55,000.00	$171,900.00
03450001500	Commercial  	J. Industrial	$1,400.00	$4,400.00
02180000200	Commercial  	I. Central Business District	$0.00	$0.00
02820000100	Commercial  	K. Unrestricted	$213,000.00	$665,600.00
01410000110	Commercial  	I. Central Business District	$92,300.00	$288,400.00
05190080310	 	I. Central Business District		
06390001600	vacant residential lot  	D. Multiple Family Residential	$210.00	$1,100.00
01800000150	Commercial  	I. Central Business District	$400.00	$1,300.00
03640000650	two family unit  	D. Multiple Family Residential	$1,460.00	$7,700.00
03820000100	Commercial  	F. Neighborhood Commercial	$186,600.00	$583,100.00
02620000900	single family units  	D. Multiple Family Residential	$10,300.00	$54,200.00
01950000050	Commercial  	I. Central Business District	$2,363,000.00	$7,384,400.00
06070000100	Commercial  	K. Unrestricted	$7,300.00	$22,800.00
05950000700	two family unit  	C. Multiple Family Residential	$1,290.00	$6,800.00
06840000900	Commercial  	D. Multiple Family Residential	$0.00	$0.00
04640401500	single family units  	D. Multiple Family Residential	$33,860.00	$178,200.00
03790000310	Commercial  		$5,400.00	$16,900.00
03830002200	two family unit  	D. Multiple Family Residential	$30,990.00	$163,100.00
04750001410	single family units  	A. Single Family Residential	$32,290.00	$169,900.00
07810001800	single family units  	D. Multiple Family Residential	$51,760.00	$272,400.00
03690000800	Commercial  	G. Local Commercial and Office	$82,600.00	$258,100.00
01780000600	Commercial  	I. Central Business District	$1,164,800.00	$3,640,000.00
00710300600	Commercial  	K. Unrestricted	$10,700.00	$33,400.00
04830401600	single family units  	B. Two Family Residential	$37,920.00	$199,600.00
05210000300				
00940000400	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
02700000300	Commercial  	J. Industrial	$5,200.00	$16,300.00
05230000210	multi-family residential  	I. Central Business District	$30,990.00	$163,100.00
05570000200	vacant residential lot  	I. Central Business District	$860.00	$4,500.00
03230000400	Commercial  	J. Industrial	$1,400.00	$4,400.00
04510000130	Commercial  	K. Unrestricted	$10,600.00	$33,100.00
04830302400	vacant residential lot  	D. Multiple Family Residential	$3,590.00	$18,900.00
05760000620	Commercial  	J. Industrial	$62,400.00	$195,000.00
03000000130	Commercial  	K. Unrestricted	$734,800.00	$2,296,300.00
04650302350	single family units  	D. Multiple Family Residential	$27,990.00	$147,300.00
06190600600	vacant residential lot  	C. Multiple Family Residential	$400.00	$2,100.00
01470000820	Commercial  		$500.00	$1,600.00
05260000200	multi-family residential  	I. Central Business District	$44,160.00	$232,400.00
00750000250	Commercial  	L. Jefferson Memorial District	$112,400.00	$351,300.00
07770000550	Commercial  	K. Unrestricted	$51,000.00	$159,400.00
00260000550	Commercial  	L. Jefferson Memorial District	$204,800.00	$640,000.00
04030000400	vacant residential lot  	D. Multiple Family Residential	$3,990.00	$21,000.00
03080300300	Commercial  	K. Unrestricted	$5,700.00	$17,800.00
04260000200	Commercial  	I. Central Business District	$0.00	$0.00
06910000200	Commercial  	K. Unrestricted	$13,100.00	$40,900.00
05030000400				
03950001000	three family unit  	D. Multiple Family Residential	$26,580.00	$139,900.00
04660303700	single family units  	D. Multiple Family Residential	$30,460.00	$160,300.00
03460002600	Commercial  	J. Industrial	$35,700.00	$111,600.00
05970001700	Commercial  	G. Local Commercial and Office	$1,300.00	$4,100.00
03830001820	Commercial  	D. Multiple Family Residential	$176,200.00	$550,600.00
03590000500	vacant residential lot  	D. Multiple Family Residential	$100.00	$500.00
04080000500	two family unit  	D. Multiple Family Residential	$10,600.00	$55,800.00
03720001300	multi-building residential  	D. Multiple Family Residential	$54,340.00	$286,000.00
06760000100	vacant residential lot  		$29,810.00	$156,900.00
03900000100	single family units  	D. Multiple Family Residential	$22,950.00	$120,800.00
06380001850	single family units  	F. Neighborhood Commercial	$21,850.00	$115,000.00
05420000900				
04020000050	vacant residential lot  	D. Multiple Family Residential	$73,150.00	$385,000.00
00270000100	Commercial  	L. Jefferson Memorial District	$153,600.00	$480,000.00
02250000150	Commercial  	K. Unrestricted	$9,000.00	$28,100.00
00740000600	Commercial  	L. Jefferson Memorial District	$8,600.00	$26,900.00
01290001100	Commercial  	I. Central Business District	$169,000.00	$528,100.00
01440000100	Commercial  	I. Central Business District	$184,000.00	$575,000.00
06150000100	Commercial  	J. Industrial	$22,200.00	$69,400.00
05570000800	Commercial  	I. Central Business District	$22,200.00	$69,400.00
06850000750	Commercial  	G. Local Commercial and Office	$55,500.00	$173,400.00
02630001020	single family units  	D. Multiple Family Residential	$22,230.00	$117,000.00
06810001200	two family unit  	D. Multiple Family Residential	$44,800.00	$235,800.00
04840002970	vacant residential lot  	B. Two Family Residential	$190.00	$1,000.00
05380000200	Commercial  	J. Industrial	$12,700.00	$39,700.00
07810001200	single family units  	D. Multiple Family Residential	$39,560.00	$208,200.00
03690000200	Commercial  	G. Local Commercial and Office	$149,900.00	$468,400.00
05560400200	vacant residential lot  	I. Central Business District	$3,710.00	$19,500.00
06430001700	vacant residential lot  	D. Multiple Family Residential	$890.00	$4,700.00
02060600500	Commercial  	I. Central Business District	$94,300.00	$294,700.00
06660001100	two family unit  	G. Local Commercial and Office	$24,040.00	$126,500.00
00410001000	Commercial  	L. Jefferson Memorial District	$2,800.00	$8,800.00
06610300100	Commercial  	K. Unrestricted	$81,400.00	$254,400.00
07680000100	Commercial  	K. Unrestricted	$225,300.00	$704,100.00
06620000450	three family unit  	D. Multiple Family Residential	$24,620.00	$129,600.00
06840000300	multi-building residential  	D. Multiple Family Residential	$31,370.00	$165,100.00
03620000300	Commercial  	D. Multiple Family Residential	$0.00	$0.00
04830304500	vacant residential lot  	G. Local Commercial and Office	$1,630.00	$8,600.00
00160000250	Commercial  	L. Jefferson Memorial District	$12,100.00	$37,800.00
04670301400	two family unit  	D. Multiple Family Residential	$34,160.00	$179,800.00
03160000310	Commercial  	K. Unrestricted	$27,800.00	$86,900.00
03470000500	vacant residential lot  	J. Industrial	$130.00	$700.00
05600000400	Commercial  	D. Multiple Family Residential	$20,100.00	$62,800.00
03140000200	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
02620000300	single family units  	D. Multiple Family Residential	$11,040.00	$58,100.00
06470000250	Commercial  	J. Industrial	$2,500.00	$7,800.00
02501300200	Commercial  	K. Unrestricted	$70,900.00	$221,600.00
05830300100	Commercial  		$96,500.00	$301,600.00
04040002000	two family unit  	D. Multiple Family Residential	$28,390.00	$149,400.00
06880000150	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
00490000700	Commercial  	L. Jefferson Memorial District	$1,500.00	$4,700.00
04090000900	single family units  	D. Multiple Family Residential	$25,670.00	$135,100.00
04820900400	single family units  	B. Two Family Residential	$45,240.00	$238,100.00
02180000050	Commercial  	I. Central Business District	$13,100.00	$40,900.00
03860001600	two family unit  	D. Multiple Family Residential	$29,390.00	$154,700.00
06180000700	vacant residential lot  	C. Multiple Family Residential	$110.00	$600.00
06330001100	vacant residential lot  	D. Multiple Family Residential	$190.00	$1,000.00
04830300100	Commercial  	E. Multiple Family Residential	$179,200.00	$560,000.00
04350000400	Commercial  	I. Central Business District	$165,300.00	$516,600.00
03640000400	two family unit  	D. Multiple Family Residential	$4,730.00	$24,900.00
06820000400	single family units  	D. Multiple Family Residential	$74,970.00	$394,600.00
05660000300	Commercial  	J. Industrial	$7,200.00	$22,500.00
02370000300	Commercial  	K. Unrestricted	$6,000.00	$18,800.00
03740500200	Commercial  	G. Local Commercial and Office	$59,400.00	$185,600.00
01690001000	Commercial  	I. Central Business District	$702,900.00	$2,196,600.00
03250000900	Commercial  	J. Industrial	$18,400.00	$57,500.00
06400000100	vacant residential lot  	D. Multiple Family Residential	$670.00	$3,500.00
06670000610	single family units  	G. Local Commercial and Office	$16,420.00	$86,400.00
03830000700	single family units  	D. Multiple Family Residential	$46,400.00	$244,200.00
04170000560	Commercial  	I. Central Business District, X. Not Zoned	$168,900.00	$527,800.00
01480000350	Commercial  		$12,200.00	$38,100.00
05630001200	vacant residential lot  	D. Multiple Family Residential	$1,180.00	$6,200.00
02190000400	Commercial  	I. Central Business District	$0.00	$0.00
05950002200	Commercial  	G. Local Commercial and Office	$1,700.00	$5,300.00
06890000500	Commercial  	K. Unrestricted	$44,500.00	$139,100.00
03290000300	Commercial  	K. Unrestricted	$2,100.00	$6,600.00
00710300450	Commercial  	K. Unrestricted	$0.00	$0.00
02290000300	Commercial  	K. Unrestricted	$20,600.00	$64,400.00
03270001300	Commercial  	J. Industrial	$66,000.00	$206,300.00
05030081410	 	I. Central Business District		
04210000150	Commercial  	K. Unrestricted	$9,600.00	$30,000.00
03960000600	three family unit  	G. Local Commercial and Office	$29,200.00	$153,700.00
06700000600	vacant residential lot  	G. Local Commercial and Office	$3,800.00	$20,000.00
07230000100	Commercial  	K. Unrestricted	$0.00	$0.00
05620003100	single family units  	D. Multiple Family Residential	$5,660.00	$29,800.00
03850000850	single family units  	F. Neighborhood Commercial	$36,180.00	$190,400.00
02710000500	Commercial  	J. Industrial	$56,100.00	$175,300.00
01200000250	Commercial  	I. Central Business District	$1,569,700.00	$4,905,300.00
03220000200	Commercial  	K. Unrestricted	$320,000.00	$1,000,000.00
04820302200	vacant residential lot  	D. Multiple Family Residential	$2,190.00	$11,500.00
04850003200	single family units  	B. Two Family Residential	$38,080.00	$200,400.00
03710000500	Commercial  	G. Local Commercial and Office	$70,800.00	$221,300.00
04740301200	single family units  	D. Multiple Family Residential	$26,980.00	$142,000.00
04750001640	single family units  	A. Single Family Residential	$33,540.00	$176,500.00
01770001000	Commercial  	I. Central Business District	$75,900.00	$237,200.00
05910001000	Commercial  	J. Industrial	$40,500.00	$126,600.00
02140400400	Commercial  	K. Unrestricted	$8,700.00	$27,200.00
00770001000	Commercial  		$67,300.00	$210,300.00
03400002100	Commercial  	J. Industrial	$300.00	$900.00
06210001100	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04630400120	single family units  	D. Multiple Family Residential	$17,920.00	$94,300.00
04650303010	vacant residential lot  	D. Multiple Family Residential	$1,120.00	$5,900.00
05960001100	Commercial  	J. Industrial	$1,200.00	$3,800.00
02620002600	single family units  	D. Multiple Family Residential	$11,480.00	$60,400.00
05260080300	 	I. Central Business District		
04980000100	Commercial  	I. Central Business District	$294,700.00	$920,900.00
02250000300	Commercial  	K. Unrestricted	$34,800.00	$108,800.00
02760000400	Commercial  	I. Central Business District	$0.00	$0.00
05270000400	Commercial  	I. Central Business District	$31,100.00	$97,200.00
03250000300	Commercial  	J. Industrial	$11,200.00	$35,000.00
06900000400	Commercial  	K. Unrestricted	$83,700.00	$261,600.00
00510000250	Commercial  	L. Jefferson Memorial District	$21,400.00	$66,900.00
04850000820	single family units  	B. Two Family Residential	$47,010.00	$247,400.00
03900000350	single family units  	D. Multiple Family Residential	$28,030.00	$147,500.00
04260000050	Commercial  	I. Central Business District	$5,400.00	$16,900.00
06260000110	multi-family residential  	D. Multiple Family Residential, F. Neighborhood Commercial	$318,820.00	$1,678,000.00
06790001700	single family units  	D. Multiple Family Residential	$25,560.00	$134,500.00
07810002070	single family units  	D. Multiple Family Residential	$4,280.00	$22,500.00
03870600220				
05540001400	Commercial  	D. Multiple Family Residential	$70,500.00	$220,300.00
03730001500	Commercial  	G. Local Commercial and Office	$32,800.00	$102,500.00
04090000300	two family unit  	D. Multiple Family Residential	$2,320.00	$12,200.00
06630002500	two family unit  	D. Multiple Family Residential	$37,920.00	$199,600.00
04660303550	vacant residential lot  	D. Multiple Family Residential	$380.00	$2,000.00
03900002860	single family units  	D. Multiple Family Residential	$24,530.00	$129,100.00
06800001400	multi-building residential  	D. Multiple Family Residential	$54,610.00	$287,400.00
05120001200	Commercial  	I. Central Business District	$0.00	$0.00
05200400150	Commercial  	I. Central Business District	$343,800.00	$1,074,400.00
00730400100	Commercial  	J. Industrial	$17,800.00	$55,600.00
04630300300	Commercial  	I. Central Business District	$13,600.00	$42,500.00
06840001620	two family unit  	D. Multiple Family Residential	$35,590.00	$187,300.00
07800001400	single family units  	D. Multiple Family Residential	$70,020.00	$368,500.00
04390000400	Commercial  	K. Unrestricted	$18,300.00	$57,200.00
03720080910	 	D. Multiple Family Residential		
02600000040	Commercial  	I. Central Business District	$245,900.00	$768,400.00
06140000700	vacant residential lot  	J. Industrial	$110.00	$600.00
05860000100	multi-family residential  	C. Multiple Family Residential	$665,820.00	$3,504,300.00
00180001000	Commercial  	L. Jefferson Memorial District	$105,300.00	$329,100.00
00710400480	Commercial  	K. Unrestricted	$12,600.00	$39,400.00
02840000600	Commercial  	K. Unrestricted	$600.00	$1,900.00
04820302800	Commercial  	D. Multiple Family Residential	$400.00	$1,300.00
07450000110	Commercial  	K. Unrestricted	$64,500.00	$201,600.00
04650304000	single family units  	D. Multiple Family Residential	$25,080.00	$132,000.00
01610000550	Commercial  	I. Central Business District	$9,900.00	$30,900.00
00170000450	Commercial  	L. Jefferson Memorial District	$738,600.00	$2,308,100.00
04320000500	Commercial  	K. Unrestricted	$21,700.00	$67,800.00
04660301200	single family units  	D. Multiple Family Residential	$23,810.00	$125,300.00
06850000500	single family units  	G. Local Commercial and Office	$15,770.00	$83,000.00
06460000450	Commercial  	J. Industrial	$134,300.00	$419,700.00
06840081570	 	D. Multiple Family Residential		
03460000300	vacant residential lot  	J. Industrial	$150.00	$800.00
02300000200	Commercial  	K. Unrestricted	$107,000.00	$334,400.00
04030002100	single family units  	D. Multiple Family Residential	$29,360.00	$154,500.00
06320001330				
06340001000	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
03990581610	 	D. Multiple Family Residential		
06670001700	multi-building residential  	D. Multiple Family Residential	$31,450.00	$165,500.00
02140300300	Commercial  	K. Unrestricted	$0.00	$0.00
07830001200	Commercial  	G. Local Commercial and Office	$77,900.00	$243,400.00
03400001400	vacant residential lot  	J. Industrial	$130.00	$700.00
06170000100	Commercial  	C. Multiple Family Residential	$1,100.00	$3,400.00
04820301700	Commercial  	D. Multiple Family Residential	$3,600.00	$11,300.00
00150000600	Commercial  	L. Jefferson Memorial District	$98,400.00	$307,500.00
06320000700	single family units  	D. Multiple Family Residential	$1,630.00	$8,600.00
05150000150	Commercial  	I. Central Business District	$402,100.00	$1,256,600.00
06330000350	single family units  	F. Neighborhood Commercial	$15,910.00	$83,700.00
03600000300	two family unit  	D. Multiple Family Residential	$1,820.00	$9,600.00
06180001550	single family units  	C. Multiple Family Residential	$20,960.00	$110,300.00
02640000120	multi-family residential  	D. Multiple Family Residential	$370,500.00	$1,950,000.00
04830301350				
04830402150				
02330000400	Commercial  	K. Unrestricted	$5,200.00	$16,300.00
03450000500	vacant residential lot  	J. Industrial	$80.00	$400.00
00840000400	Commercial  	L. Jefferson Memorial District	$1,644,800.00	$5,140,000.00
06390000600	single family units  	F. Neighborhood Commercial	$2,640.00	$13,900.00
02790000800	Commercial  	I. Central Business District	$824,600.00	$2,576,900.00
07390000600	Commercial  	K. Unrestricted	$84,100.00	$262,800.00
01580000100	Commercial  	L. Jefferson Memorial District	$236,100.00	$737,800.00
06090000100	Commercial  	J. Industrial	$1,000.00	$3,100.00
05640400500	Commercial  	J. Industrial	$2,100.00	$6,600.00
06710001000	Commercial  	G. Local Commercial and Office	$21,800.00	$68,100.00
02620001900	single family units  	D. Multiple Family Residential	$10,340.00	$54,400.00
07090000100	Commercial  	K. Unrestricted	$24,800.00	$77,500.00
05950001700	Commercial  	C. Multiple Family Residential	$3,200.00	$10,000.00
05910000250	Commercial  	J. Industrial	$33,000.00	$103,100.00
05520000300	Commercial  	D. Multiple Family Residential	$214,400.00	$670,000.00
03090400800	Commercial  	K. Unrestricted	$32,200.00	$100,600.00
07780001010	three family unit  	D. Multiple Family Residential	$25,100.00	$132,100.00
06740000100	vacant residential lot  		$6,840.00	$36,000.00
07810000800	two family unit  	D. Multiple Family Residential	$31,220.00	$164,300.00
04000000050	vacant residential lot  	D. Multiple Family Residential	$28,980.00	$152,500.00
05090080310	Commercial  	I. Central Business District		
06810000800	single family units  	D. Multiple Family Residential	$36,200.00	$190,500.00
04530000750	Commercial  	K. Unrestricted	$10,300.00	$32,200.00
00760000600	Commercial  	L. Jefferson Memorial District	$38,600.00	$120,600.00
04440500630	Commercial  	K. Unrestricted	$8,400.00	$26,300.00
04040001500	Commercial  	D. Multiple Family Residential	$82,800.00	$258,800.00
06190500700	Commercial  	G. Local Commercial and Office	$1,500.00	$4,700.00
04820903100	two family unit  	C. Multiple Family Residential	$19,380.00	$102,000.00
04830400600	multi-building residential  	B. Two Family Residential	$54,950.00	$289,200.00
04830303400	vacant residential lot  	D. Multiple Family Residential	$4,280.00	$22,500.00
04840002400				
03790000200	Commercial  	J. Industrial	$7,800.00	$24,400.00
03870600700	vacant residential lot  	D. Multiple Family Residential, X. Not Zoned	$17,180.00	$90,400.00
05280000200	multi-family residential  	I. Central Business District	$410,400.00	$2,160,000.00
02790000200	Commercial  	I. Central Business District	$90,500.00	$282,800.00
06670002200	multi-family residential  	D. Multiple Family Residential	$65,340.00	$343,900.00
06640400220	Commercial  	K. Unrestricted	$0.00	$0.00
04660302700	vacant residential lot  	D. Multiple Family Residential	$2,300.00	$12,100.00
06200000700	two family unit  	D. Multiple Family Residential	$1,900.00	$10,000.00
05970000700	Commercial  	J. Industrial	$2,500.00	$7,800.00
06050000100	Commercial  		$36,500.00	$114,100.00
01540000100	Commercial  	K. Unrestricted	$130,500.00	$407,800.00
04070000150	Commercial  		$17,800.00	$55,600.00
03600000900	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
02160000800	Commercial  	I. Central Business District	$0.00	$0.00
06330000950	vacant residential lot  	D. Multiple Family Residential	$230.00	$1,200.00
06900000120	Commercial  	K. Unrestricted	$107,200.00	$335,000.00
02210000400	Commercial  	I. Central Business District	$55,600.00	$173,800.00
06040000550	Commercial  		$7,500.00	$23,400.00
03590001500	single family units  	D. Multiple Family Residential	$950.00	$5,000.00
03720000300	four family unit  	D. Multiple Family Residential	$27,040.00	$142,300.00
03210000400	Commercial  	K. Unrestricted	$6,700.00	$20,900.00
07040000550	Commercial  	J. Industrial	$189,600.00	$592,500.00
06800002100	two family unit  	D. Multiple Family Residential	$21,430.00	$112,800.00
03900001100	vacant residential lot  	D. Multiple Family Residential	$2,340.00	$12,300.00
07780000100	single family units  	D. Multiple Family Residential	$46,910.00	$246,900.00
06040001220	Commercial  	J. Industrial	$3,400.00	$10,600.00
05410002000				
04310600400	Commercial  	J. Industrial	$32,900.00	$102,800.00
01290000100				
04290000650	Commercial  	K. Unrestricted	$48,000.00	$150,000.00
04821000100	vacant residential lot  	F. Neighborhood Commercial	$12,830.00	$67,500.00
03990600390	multi-family residential  	D. Multiple Family Residential	$22,610.00	$119,000.00
05190000150				
03300001050	Commercial  	K. Unrestricted	$2,200.00	$6,900.00
01610001700	Commercial  	I. Central Business District	$27,700.00	$86,600.00
03850001000	multi-building residential  	F. Neighborhood Commercial	$10,680.00	$56,200.00
06810000200	two family unit  	D. Multiple Family Residential	$19,860.00	$104,500.00
02420000400	Commercial  	K. Unrestricted	$12,700.00	$39,700.00
03340000500	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
03960000920	Commercial  	D. Multiple Family Residential, G. Local Commercial and Office	$16,200.00	$50,600.00
03670000200	Commercial  	J. Industrial	$347,700.00	$1,086,600.00
07810000200	vacant residential lot  	D. Multiple Family Residential	$5,320.00	$28,000.00
05650000500	Commercial  	J. Industrial	$7,600.00	$23,800.00
02340000500	Commercial  	K. Unrestricted	$21,600.00	$67,500.00
05360000200	Commercial  	I. Central Business District	$32,900.00	$102,800.00
02110800100	Commercial  	I. Central Business District	$7,680,000.00	$24,000,000.00
06310000420				
06430000700	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
02060601500	Commercial  	I. Central Business District	$894,900.00	$2,796,600.00
06350000600	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
03800000100				
06660000100	single family units  	G. Local Commercial and Office	$30,990.00	$163,100.00
05240000800	Commercial  	I. Central Business District	$77,000.00	$240,600.00
04180000500	Commercial  	K. Unrestricted	$0.00	$0.00
06330001240				
06490000250	Commercial  	J. Industrial, K. Unrestricted, X. Not Zoned	$483,500.00	$1,510,900.00
02620001300	single family units  	D. Multiple Family Residential	$10,300.00	$54,200.00
06750400100	Commercial  		$7,200.00	$22,500.00
06160000700	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
04820901400	single family units  	B. Two Family Residential	$33,820.00	$178,000.00
07330000100	Commercial  	K. Unrestricted	$0.00	$0.00
00160000110	Commercial  	L. Jefferson Memorial District	$367,300.00	$1,147,800.00
06820001400	four family unit  	D. Multiple Family Residential	$11,130.00	$58,600.00
03640001400	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03390000300	vacant residential lot  	J. Industrial	$270.00	$1,400.00
04430001500	Commercial  	K. Unrestricted	$249,100.00	$778,400.00
06400001100	vacant residential lot  	D. Multiple Family Residential	$320.00	$1,700.00
02330080500	 	K. Unrestricted		
03260002000	Commercial  	J. Industrial	$477,300.00	$1,491,600.00
06360001000	vacant residential lot  	D. Multiple Family Residential	$80.00	$400.00
03830001700	vacant residential lot  	F. Neighborhood Commercial	$2,550.00	$13,400.00
01910002000	Commercial  	I. Central Business District	$8,125,200.00	$25,391,300.00
06340001110				
02170000400	Commercial  	I. Central Business District	$0.00	$0.00
04300000500	Commercial  	J. Industrial	$39,200.00	$122,500.00
02340000130	Commercial  	K. Unrestricted	$10,400.00	$32,500.00
03650000720	Commercial  	J. Industrial	$2,100.00	$6,600.00
03990600330	single family units  	D. Multiple Family Residential	$28,270.00	$148,800.00
04440500800	Commercial  	K. Unrestricted	$695,700.00	$2,174,100.00
05900000450	Commercial  	J. Industrial	$67,600.00	$211,300.00
02740000400	Commercial  	I. Central Business District	$1,209,100.00	$3,778,400.00
04530000500	Commercial  	K. Unrestricted	$6,300.00	$19,700.00
05720000120	multi-family residential  	C. Multiple Family Residential	$570,000.00	$3,000,000.00
06700001600	single family units  	G. Local Commercial and Office	$5,810.00	$30,600.00
06230001100	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
06080000700	Commercial  	K. Unrestricted	$13,400.00	$41,900.00
03460001900	vacant residential lot  	J. Industrial	$110.00	$600.00
06060001700	Commercial  	K. Unrestricted	$2,000.00	$6,300.00
04660300800	single family units  	D. Multiple Family Residential	$45,960.00	$241,900.00
06630001850	single family units  	D. Multiple Family Residential	$60,570.00	$318,800.00
03450002000	Commercial  	J. Industrial	$400.00	$1,300.00
05620002100	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
03710001500	Commercial  	G. Local Commercial and Office	$490,900.00	$1,534,100.00
04850002200	single family units  	B. Two Family Residential	$47,820.00	$251,700.00
05520000150	Commercial  	D. Multiple Family Residential	$7,000.00	$21,900.00
00010000100	Commercial  		$19,000.00	$59,400.00
01240000700	Commercial  	I. Central Business District	$24,400.00	$76,300.00
00520000600	Commercial  	L. Jefferson Memorial District	$600.00	$1,900.00
03910000610	two family unit  	D. Multiple Family Residential	$12,920.00	$68,000.00
01010000100	Commercial  	L. Jefferson Memorial District	$9,157,000.00	$28,615,600.00
01520000600	Commercial  	I. Central Business District	$4,400.00	$13,800.00
06280001000	vacant residential lot  	D. Multiple Family Residential	$150.00	$800.00
03380002000	vacant residential lot  	J. Industrial	$270.00	$1,400.00
05630000800	single family units  	D. Multiple Family Residential	$22,230.00	$117,000.00
06020000430	Commercial  	J. Industrial	$2,600.00	$8,100.00
03440000900	Commercial  	J. Industrial	$2,000.00	$6,300.00
06730200100	Commercial  	C. Multiple Family Residential	$12,000.00	$37,500.00
