parcelid	land use	zoning	assessed total	appraised total
03270001500	Commercial  	K. Unrestricted	$10,700.00	$33,400.00
02411800100	Commercial  	K. Unrestricted	$10,500.00	$32,800.00
03820002200				
04830400520	single family units  	B. Two Family Residential	$30,550.00	$160,800.00
05220300200	multi-family residential  	I. Central Business District	$20,460.00	$107,700.00
00440400100	Commercial  	L. Jefferson Memorial District	$72,300.00	$225,900.00
05950002400	Commercial  	G. Local Commercial and Office	$800.00	$2,500.00
02630001210	multi-family residential  	D. Multiple Family Residential	$12,280.00	$64,600.00
02190000200	Commercial  	I. Central Business District	$0.00	$0.00
04480000200	Commercial  	J. Industrial	$95,000.00	$296,900.00
01500600700	Commercial  	I. Central Business District	$34,700.00	$108,400.00
06360000600	vacant residential lot  	D. Multiple Family Residential	$60.00	$300.00
03830000100				
05270000800	Commercial  	I. Central Business District	$14,900.00	$46,600.00
06900000800	Commercial  	K. Unrestricted	$104,100.00	$325,300.00
01400000110	Commercial  	H. Area Commercial	$298,600.00	$933,100.00
07650000100	Commercial  	K. Unrestricted	$63,000.00	$196,900.00
07830000650				
06380001600	single family units  	F. Neighborhood Commercial	$840.00	$4,400.00
05660000500	Commercial  	J. Industrial	$12,000.00	$37,500.00
05350000200	Commercial  	I. Central Business District	$9,700.00	$30,300.00
03390001500	vacant residential lot  	D. Multiple Family Residential	$270.00	$1,400.00
02640000200	Commercial  	D. Multiple Family Residential	$400.00	$1,300.00
06190600850	single family units  	C. Multiple Family Residential	$14,840.00	$78,100.00
06820000200	three family unit  	D. Multiple Family Residential	$31,270.00	$164,600.00
04350000200	multi-family residential  	I. Central Business District	$69,070.00	$363,500.00
03640000200	vacant residential lot  	D. Multiple Family Residential	$100.00	$500.00
02120000300	Commercial  	K. Unrestricted	$268,600.00	$839,400.00
01800000500	Commercial  	I. Central Business District	$74,600.00	$233,100.00
04840001700				
06180000100	vacant residential lot  	C. Multiple Family Residential	$340.00	$1,800.00
02160001650	Commercial  	I. Central Business District	$37,800.00	$118,100.00
01490000100	Commercial  		$34,400.00	$107,500.00
03730001900	vacant residential lot  	D. Multiple Family Residential	$5,930.00	$31,200.00
04830403500	vacant residential lot  	C. Multiple Family Residential	$2,050.00	$10,800.00
06160001100	vacant residential lot  	J. Industrial	$210.00	$1,100.00
02620004100	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
07180000100	Commercial  	J. Industrial	$65,900.00	$205,900.00
00490000100	Commercial  		$1,400.00	$4,400.00
06670001100				
06400001610				
04190000270	Commercial  	K. Unrestricted	$5,700.00	$17,800.00
03460000500	Commercial  	J. Industrial	$500.00	$1,600.00
06150000550	Commercial  	J. Industrial	$5,300.00	$16,600.00
04360000120				
03150000200	Commercial  	K. Unrestricted	$69,100.00	$215,900.00
05460000310	Commercial  	J. Industrial	$280,100.00	$875,300.00
05440000200	Commercial  	J. Industrial	$576,000.00	$1,800,000.00
03850000450	vacant residential lot  	D. Multiple Family Residential	$13,930.00	$73,300.00
04320000300	Commercial  	K. Unrestricted	$19,400.00	$60,600.00
04660301400	two family unit  	D. Multiple Family Residential	$30,440.00	$160,200.00
00160000600	Commercial  	L. Jefferson Memorial District	$32,600.00	$101,900.00
01600000700	Commercial  	L. Jefferson Memorial District	$203,900.00	$637,200.00
05160000150	Commercial  	I. Central Business District	$148,400.00	$463,800.00
06330000610	single family units  	F. Neighborhood Commercial	$14,330.00	$75,400.00
07600000110	Commercial  	K. Unrestricted	$76,200.00	$238,100.00
01450000100	Commercial  	I. Central Business District	$83,600.00	$261,300.00
06140000100	Commercial  	J. Industrial	$500.00	$1,600.00
